X_NAD,Y_NAD,Z_NAD
544659.8457,6440363.514,467.406494
543488.625,6440332.85,459.39679
543488.0547,6438496.566,458.593475
532041.0547,6416251.697,495.431396
533194.1426,6418151.305,477.614197
516220.929,6447622.031,505.025238
516220.0085,6449457.156,479.201996
515066.8408,6447605.238,476.780334
545778.8145,6429336.967,488.282684
545779.4922,6427503.656,481.281128
546825.2031,6429266.137,476.057617
535495.1113,6425603.816,487.405518
534361.2012,6425603.141,487.631104
534362.3389,6423770.968,483.567688
545778.7715,6431171.998,487.273529
546825.2031,6432937.893,481.145599
545778.7129,6433007.879,481.927917
525291.3711,6425594.382,490.470947
525291.3711,6427430.26,495.387695
524158.0117,6425594.382,488.746399
520757.9332,6460476.059,444.012085
521891.2927,6462311.938,422.390015
520757.9332,6462311.938,422.390015
538835.5078,6416246.359,484.642487
537712.9336,6414436.61,488.388763
538844.5703,6414435.052,478.661804
525253.3311,6416291.75,489.085388
526411.6636,6418208.538,490.386505
529824.8105,6431102.016,451.570007
528691.4502,6429266.137,455.713684
529824.8105,6429266.137,495.32547
516219.6528,6453128.641,448.327179
515065.8545,6451276.199,481.410522
516219.5186,6451292.633,468.532257
535492.3691,6440282.012,452.517181
536625.4746,6442117.684,452.140106
521891.2927,6436609.648,498.830658
520757.9332,6436609.648,497.313812
520757.9332,6434773.77,501.721222
517357.8547,6458640.18,432.047424
516219.5122,6458636,438.763794
516219.7515,6456800.551,453.656403
540019.6875,6462307.633,475.073303
541159.8223,6462314.02,486.004364
532091.5293,6436609.648,451.51001
532091.5293,6434773.77,451.51001
533224.9424,6436609.691,453.85553
535491.7002,6454968.387,466.974487
536625.0547,6454968.34,452.008545
536624.0527,6456801.398,468.133209
526428.3491,6469667.164,426.4776
527561.709,6469667.168,425.690125
527558.0908,6471491.324,439.478882
544629.2637,6469799.863,484.653503
545759.8379,6469765.676,490.182129
545691.8438,6471491.324,488.018372
545778.1484,6438515.479,465.250458
544658.4648,6436690.721,465.632324
545778.1211,6436679.574,476.641907
521851.7367,6414451.019,498.320312
522986.6858,6414456.115,503.299683
522986.6255,6416291.825,500.367645
516225.0056,6423764.481,512.745544
515065.9165,6421900.311,521.834045
516221.5344,6421918.214,521.853027
532091.5293,6467819.57,444.483887
532095.1436,6469667.156,449.50058
538886.0801,6447620.297,452
538886.2129,6449456.363,452
537756.7324,6447623.551,452
521891.2927,6432937.893,483.026947
523024.6523,6432937.893,493.952637
523024.6523,6434773.77,493.785919
511604.7715,6425524.761,543.266418
511604.8945,6423689.622,519.987671
512724.9336,6425514.771,511.003448
527558.0908,6453132.547,459.593811
527558.0908,6454968.426,472.840759
511606.4873,6416307.898,515.265686
512718.1572,6418124.978,518.523865
511602.5439,6418163.925,545.301636
520757.9332,6425594.382,516.761963
520757.9332,6427430.26,500.969788
519624.5737,6425594.382,533.35907
512723.9277,6443871.777,478.345764
513895.7695,6443902.953,508.811646
513895.0195,6445738.219,486.725037
543489.8047,6425654.102,478.203735
543488.3242,6427483.961,478.709229
542315.8086,6425620.895,487.310822
512725.436,6462237.781,431.81778
513893.6841,6462260.695,437.136017
513900.5181,6464123.703,437.421478
513894.4785,6447573.652,481.805023
520758.0174,6423758.648,506.084778
519623.8882,6421917.586,510.34549
510557.6973,6414579.116,556.120789
511629.4541,6414479.33,519.313599
511604.6221,6460405.215,440.891907
511607.5029,6462252.508,435.419647
536625.4648,6443953.539,452
537756.7109,6443951.828,453.836517
511604.5889,6438375.496,525.562988
510557.6973,6436609.648,560.05658
511604.5791,6436539.609,529.931335
541156.9316,6421923.471,485.519775
541145.7051,6420049.856,481.574432
542313.8066,6421942.358,483.022797
532091.5293,6465983.691,470.286987
516219.1658,6460470.934,434.358276
515064.9282,6458617.871,428.5896
529824.8105,6440281.402,457.316589
529824.8105,6438445.525,451.51001
530958.1699,6440281.402,453.51178
523024.6523,6443953.16,475.51001
523024.6523,6442117.281,498.937439
524158.0117,6443953.16,492.952393
517362.8684,6425602.057,506.636658
518492.5032,6425596.459,508.554382
518491.7589,6427430.934,497.276733
543490.9141,6423821.413,477.969666
543488.0586,6421973.666,479.876434
518491.2142,6445789.039,531.330322
519624.5737,6447624.914,503.558533
518491.2142,6447624.914,511.71756
536625.4238,6445789.352,452
536625.4375,6447625.223,454.160095
518491.2142,6443953.16,501.014465
518491.2142,6442117.281,502.657166
519624.5737,6443953.16,527.770142
511604.501,6453062.531,465.167297
510557.6973,6451296.672,478.254822
511604.1709,6451226.41,474.66568
540017.4121,6421918.185,483.762207
538874.668,6420045.781,483.163239
525291.3711,6423758.504,498.737335
524158.0117,6421922.627,487.266479
525291.3711,6421922.627,517.902222
511604.8604,6431032.18,557.966675
510557.6973,6429266.137,561.60144
511604.4629,6429195.93,557.543945
535491.1855,6458638.668,495.683777
534358.248,6458640.18,474.379211
534358.248,6456804.305,478.61026
511604.5713,6440211.357,525.695984
511604.3398,6442047.045,502.973877
510557.6973,6440281.402,510.381775
538887.9004,6462309.23,461.879211
537757.957,6462314.016,475.758026
530958.1699,6462311.938,475.864014
532091.5293,6462311.938,475.503174
532091.5293,6464147.813,475.735596
521891.2927,6458640.18,428.487885
520757.9332,6458640.18,429.277222
520757.9332,6456804.305,469.9487
520757.9332,6438445.525,497.021851
519624.5737,6436609.648,497.580566
530958.1699,6429266.137,466.819244
532091.416,6429265.92,483.400604
532091.4697,6431101.885,480.876801
536624.9668,6412743.239,479.947296
520761.5463,6469667.148,451.629608
520757.9332,6467819.57,455.0336
521894.9106,6469667.168,450.088623
545778.2266,6444023.113,484.529602
545778.5547,6442187.51,474.728973
546825.2031,6443953.16,471.914703
513892.6343,6458584.84,424.151611
513893.4063,6456751.551,439.6875
545778.3555,6445859.102,470.069733
546825.2031,6447624.914,471.50116
545778.2441,6447694.902,464.266418
526424.731,6447624.914,467.732452
527558.0908,6447624.914,455.127563
527558.0908,6449460.793,452.828827
511603.3838,6420012.992,531.188965
510557.6973,6418250.871,566.096863
544659.1973,6444034.73,467.615662
543488.1602,6444004.215,479.009308
543488.4805,6442168.592,477.019043
520757.9332,6440281.402,494.74292
520757.9332,6442117.281,493.115967
528691.4502,6462311.938,457.467529
527558.0908,6462311.938,440.142365
535492.3848,6436610.295,460.17627
534358.6338,6436609.963,463.724304
534358.5947,6434774.023,478.794739
521891.2927,6425594.382,500.785095
536625.4629,6436610.102,453.367828
536625.375,6434774.086,457.783264
537756.8223,6436608.514,462.728394
525291.3711,6432937.893,489.318054
524158.0117,6432937.893,492.488159
538886.0977,6445784.465,453.538696
520757.9332,6431102.016,514.576538
519624.5737,6429266.137,510.329163
520757.9332,6429266.137,525.561951
540016.9746,6447618.313,452
541156.7637,6447623.539,452
541156.6211,6449459.324,451.999969
512753.3237,6466000.863,433.399811
511629.8408,6465987.387,432.993195
511615.0986,6464114.188,441.416901
511672.9668,6469686,434.712189
511691.0566,6471491.324,419.139679
510557.6973,6469655.445,415.88678
545778.3184,6458709.949,492.371887
545778.1895,6456874.285,485.479614
546825.2031,6458640.18,493.602722
523024.6523,6425594.382,500.67688
523024.6523,6427430.26,478.499908
545778.3359,6460545.203,510.132019
546825.2031,6462311.938,495.503479
545778.9434,6462381.652,492.097076
536645.1504,6466048.848,469.651215
537787.209,6466078.16,478.667969
520727.3679,6418152.124,494.246704
519592.893,6418147.269,515.584045
529795.7305,6418156.662,484.292786
529817.7188,6420063.78,484.308685
528668.4326,6418176.276,501.936401
544659.1582,6458720.73,510.575439
543487.293,6458688.422,504.458008
543487.5234,6456854.434,484.923096
527558.0908,6438445.525,458.725037
528691.4502,6440281.402,456.559998
527558.0908,6440281.402,486.912018
527558.0908,6436609.648,499.522278
527558.0908,6434773.77,467.553467
528691.4502,6436609.648,451.51001
536628.2402,6425603.637,484.770691
536626.3477,6427433.391,483.69873
534359.3984,6427433.213,496.420685
533227.1836,6425601.863,491.982727
533225.2539,6421923.873,494.388062
534359.3154,6421925.311,504.354858
526424.731,6425594.382,474.397186
527558.0908,6427430.26,470.636475
513895.9668,6438395.469,524.67041
515068.9619,6440263.445,516.865662
513896.3491,6440231.648,520.861572
512723.9155,6436528.26,516.083313
511604.5381,6434703.703,517.746521
521891.2927,6440281.402,510.035553
529824.8105,6447624.914,473.474945
529824.8105,6449460.793,456.59668
528691.4502,6447624.914,466.713501
540017.0879,6451290.43,451.999969
538886.3945,6451292.691,452
541156.5918,6451295.332,452
542313.5527,6451314.395,452.011627
516219.7222,6454964.637,457.566528
515065.5869,6454947.93,462.920288
529824.8105,6445789.039,481.566528
528691.4502,6443953.16,471.06839
529824.8105,6443953.16,469.02655
541156.8887,6443951.918,467.166779
541157.5918,6442116.602,477.245911
542313.9746,6443971.137,466.356628
524119.9263,6414455.723,509.374329
525252.4321,6414452.964,496.374603
527541.7637,6418197.979,465.511841
527558.0908,6420086.749,460.549988
521891.2927,6465983.691,422.389923
520757.9332,6465983.691,446.286011
520757.9332,6464147.813,438.814819
533224.8887,6465983.691,466.622314
529824.8105,6425594.382,490.661499
529824.8105,6427430.26,465.159912
529824.8965,6423758.79,481.534485
528691.4502,6421922.627,486.146484
529825.2148,6421923.956,481.498718
545710.3027,6414549.573,464.049255
545732.7754,6416380.439,465.52597
544580.4063,6414513.645,472.77951
530958.6162,6425595.927,485.237244
532092.9922,6425599.361,508.670532
532091.7578,6427431.215,485.730804
520709.3715,6416257.969,522.270386
521866.3336,6418170.28,499.74231
534358.248,6462311.938,481.059784
534358.248,6464147.813,475.604858
533224.8887,6462311.938,482.684753
536625.2969,6429265.947,469.376984
537756.5645,6429264.195,497.686096
534358.248,6460476.059,490.995605
533224.8887,6458640.18,471.368622
546825.2031,6440281.402,464.027618
545778.5957,6440351.684,462.693085
517360.5254,6432939.955,560.359497
518491.2142,6432937.893,510.256104
518491.2142,6434773.77,510.939301
513893.3735,6453080.582,464.616272
513893.543,6454916.582,459.66687
516223.196,6432936.695,532.641296
516222.3333,6434772.002,533.277954
515067.9648,6432919.023,537.484253
538883.2324,6460460.254,468.169098
544659.2305,6455050.176,484.838074
545778.4551,6455038.648,496.822449
543487.7832,6455019.375,469.680298
543488.0195,6453183.656,461.524506
543488.6055,6451348.129,453.976257
511604.792,6432868.031,541.249878
510557.6973,6432937.893,533.906372
518491.2142,6453132.547,460.784485
517357.8052,6451296.633,478.235718
518491.2142,6451296.672,477.630127
535492.1729,6432938.045,472.112823
536625.2344,6432937.748,459.494934
518447.6936,6414437.568,518.583984
518491.2142,6412743.238,508.703674
519581.2083,6414438.715,512.271851
518441.1482,6416250.752,508.783508
518461.0143,6418148.69,524.738953
517314.9324,6414438.18,511.995728
516181.7683,6414438.712,508.888611
516224.4951,6412743.238,520.525452
513917.5791,6466017.938,441.449707
513941.5767,6467920.238,446.091614
532091.5293,6458640.18,475.075378
532091.5293,6456804.305,465.750153
532091.5293,6460476.059,481.201599
519624.5737,6458640.18,442.640625
534358.248,6467819.57,469.709717
534358.248,6465983.691,463.565308
527558.0908,6429266.137,460.840485
538886.4434,6453128.973,457.017792
537756.9863,6451295.98,452
540016.9609,6454962.07,452.319489
541156.0684,6456800.961,472.69104
512724.6216,6440200.576,522.334167
521891.2927,6429266.137,487.422607
523024.6523,6429266.137,484.656006
524158.0117,6429266.137,494.519958
523024.6523,6431102.016,485.491882
513893.5464,6421869.835,524.105591
513888.1523,6420009.9,517.854919
543487.6934,6431151.764,470.449829
542313.6035,6429283.275,487.41626
543487.8535,6429316.596,484.492432
512723.2217,6451214.828,470.941467
513893.793,6451244.91,466.802765
530961.7881,6469667.168,437.595215
532091.5293,6471491.324,439.838623
527558.0908,6431102.016,464.950958
526424.731,6429266.137,476.975891
544659.3691,6433019.113,469.963623
545778.4355,6434843.803,471.104034
543487.7461,6432988.137,471.537018
543486.9453,6434823.824,470.730225
542313.2988,6432954.906,469.636993
521891.2927,6451296.672,490.585236
523024.6523,6451296.672,482.872437
523024.6523,6453132.547,464.179016
539978.9941,6414435.678,486.491943
541119.9863,6414441.491,483.815369
541110.8926,6416252.502,485.778961
529824.8105,6453132.547,494.596924
528691.4502,6451296.672,452.470032
529824.8105,6451296.672,451.51001
543488.0566,6447675.875,452
543488.4883,6449512.109,452.530609
542313.7363,6447642.691,452
530958.1699,6454968.426,479.060852
532091.5293,6454968.426,487.636383
543486.9082,6436659.803,470.244324
538886.3984,6440277.125,469.082886
538886.4961,6438441.375,461.875
540017.7031,6440275.457,464.22995
529774.5781,6416252.265,505.667542
528648.2607,6414439.178,486.56955
529780.9893,6414437.175,498.833984
525291.3711,6440281.402,487.116364
525291.3711,6442117.281,499.071014
524158.0117,6440281.402,502.127258
526424.731,6421922.627,460.540009
527558.0908,6421922.627,478.704041
532094.2168,6423767.438,501.15564
530958.2646,6421923.048,508.50531
525291.3711,6460476.059,433.038727
526424.731,6462311.938,461.474091
525291.3711,6462311.938,449.523071
533224.8174,6429265.941,469.491028
532091.4883,6421922.729,482.951355
511650.9707,6467856.262,432.172119
510557.6973,6465983.691,422.549988
512758.3896,6414442.341,537.683716
511691.0566,6412743.238,517.558044
525291.3711,6467819.57,422.390015
524158.0117,6465983.691,435.820923
525291.3711,6465983.691,445.885498
513904.3003,6414436.236,516.081055
513957.7764,6412743.238,506.069885
515045.8101,6414437.608,512.960999
513880.311,6416243.667,515.505066
515044.3579,6418140.005,517.05188
513881.0967,6418126.956,534.403687
525294.9893,6469667.168,426.983368
518495.0974,6423764.844,519.771851
517361.1223,6421922.985,524.08551
516210.9275,6420047.063,516.818604
518493.1917,6421921.129,525.767212
518481.8773,6420049.744,520.493591
517329.0056,6418150.263,502.468262
525291.3711,6429266.137,478.5
516192.3335,6418148.101,503.160126
516174.5288,6416251.682,513.865112
523024.6523,6421922.627,482.5
523022.2388,6420078.969,516.320557
523024.6523,6423758.504,505.255737
545781.209,6467934.75,496.924683
546825.2031,6469655.445,495.224304
525291.3711,6454968.426,456.440002
524158.0117,6454968.426,478.540955
544668.1289,6466115.324,514.008057
543503.959,6466111.34,511.137878
543495.5996,6464226.184,505.959991
523028.2705,6469667.164,431.361267
523024.6523,6471491.324,434.971313
545782.3105,6466073.984,492.813446
545780.2305,6464222.695,490.063416
546825.2031,6465983.691,489.000031
513893.9834,6449409.121,484.746216
517359.3137,6436610.838,513.470825
516222.0427,6436607.686,526.985596
518491.2142,6436609.648,500.381195
523024.6523,6445789.039,481.700531
524158.0117,6447624.914,500.484131
523024.6523,6447624.914,486.815063
512724.3555,6429184.938,551.048401
511604.8164,6427360.369,561.479065
513896.3491,6429216.17,530.8302
513897.083,6427381.496,560.533752
525291.3711,6447624.914,474.750275
525291.3711,6445789.039,488.485474
513895.6182,6431051.49,547.971313
513895.0327,6432887.037,567.201538
535461.7461,6418152.153,481.028687
536594.2715,6418150.379,492.778778
536614.7617,6420052.315,492.591003
518491.2142,6429266.137,490.459961
546825.2031,6436609.648,470.985535
518491.2142,6431102.016,533.737976
519624.5737,6432937.893,509.637421
525291.3711,6471491.324,435.818054
524161.6304,6469667.168,433.773071
517361.1062,6429268.998,508.401886
516224.9543,6427432.23,518.556641
530958.1699,6443953.16,468.49939
529824.8105,6442117.281,489.711365
532091.5293,6443953.16,475.871429
532091.5293,6442117.281,455.127533
533224.8887,6443953.16,451.51001
532091.5293,6445789.039,480.895325
533224.8887,6447624.914,488.907684
