SAMPLING_POINT-NAME,PICTURE,HOLEID,HOLEID_LATITUDE,HOLEID_LONGITUDE,HOLEID_ELEVATION,HOLEID_X_NAD,HOLEID_Y_NAD,HOLEID_Z_NAD,SAMPLE_DEPTH_FROM,SAMPLE_DEPTH_TO,X_NAD,Y_NAD,Z_NAD,SAMPLING_POINT-LATITUDE,SAMPLING_POINT-LONGITUDE,SAMPLING_POINT-ELEVATION,LITHOLOGY_ORANO,FORMATION_ORANO,LITHOLOGY,LITHOLOGY_2,LITHOLOGY_3,TEXTURE_STRUCTURE,TEXTURE_STRUCTURE_2
text,text,text,deg,deg,m,m,m,m,m,m,m,m,m,deg,deg,m,text,text,text,text,text,text,text
 WC426--332-8,WC426-332-8.JPG ,WC____426___,58.06947376,-104.4363636,453.585,533252.152,6436582.811,453.585,332.8,332.9,533250.5795,6436645.884,126.9001102,58.07004036,-104.4363813,126.9001102,SStFine,MFb,SEDIMENTARY,SILICLASTIC,SANDSTONE,,
 WC426--333,WC426-333.JPG ,WC____426___,58.06947376,-104.4363636,453.585,533252.152,6436582.811,453.585,333,333.1,533250.5833,6436645.921,126.7035877,58.0700407,-104.4363813,126.7035877,SStFine,MFb,SEDIMENTARY,SILICLASTIC,SANDSTONE,,
 WC441--271-5,WC441-271-5.JPG ,WC____441___,58.07000386,-104.4363202,451.4,533254.22,6436641.85,451.4,271.5,271.6,533251.4325,6436684.122,183.3094735,58.07038373,-104.4363615,183.3094735,SStCgl,MFb,SEDIMENTARY,SILICLASTIC,SANDSTONE,,
 WC441--334-2,WC441-334-2.JPG ,WC____441___,58.07000386,-104.4363202,451.4,533254.22,6436641.85,451.4,334.2,334.3,533252.6886,6436692.365,121.1674704,58.07045768,-104.436339,121.1674704,CglSSt,MFb4cg,SEDIMENTARY,SILICLASTIC,CONGLOMERATE,,
 WC448--326,WC448-326.JPG ,WC____448___,58.08110672,-104.5065723,452.101,529100.827,6437845.512,452.101,326,326.1,529078.603,6437891.545,130.2543329,58.08152163,-104.5069434,130.2543329,FLT,MFb,SEDIMENTARY,SILICLASTIC,SANDSTONE,TECTONIC_TECTONOMETAMORPHIC_DAMAGE,FAULT_DAMAGE_ZONE
 WC448--341,WC448-341.JPG ,WC____448___,58.08110672,-104.5065723,452.101,529100.827,6437845.512,452.101,341,341.1,529078.0689,6437893.66,115.4137453,58.08154066,-104.5069522,115.4137453,FLT,MFb,SEDIMENTARY,SILICLASTIC,SANDSTONE,TECTONIC_TECTONOMETAMORPHIC_DAMAGE,FAULT_DAMAGE_ZONE
 WC448--352-6,WC448-352-6.JPG ,WC____448___,58.08110672,-104.5065723,452.101,529100.827,6437845.512,452.101,352.6,352.7,529077.6541,6437895.241,103.9294709,58.08155488,-104.506959,103.9294709,FLT,MFb,SEDIMENTARY,SILICLASTIC,SANDSTONE,TECTONIC_TECTONOMETAMORPHIC_DAMAGE,FAULT_DAMAGE_ZONE
 WC448--359,WC448-359.JPG ,WC____448___,58.08110672,-104.5065723,452.101,529100.827,6437845.512,452.101,359,359.1,529077.4253,6437896.113,97.59331946,58.08156273,-104.5069628,97.59331946,FLT,MFb,SEDIMENTARY,SILICLASTIC,SANDSTONE,TECTONIC_TECTONOMETAMORPHIC_DAMAGE,FAULT_DAMAGE_ZONE
 WC448--366-5,WC448-366-5.JPG ,WC____448___,58.08110672,-104.5065723,452.101,529100.827,6437845.512,452.101,366.5,366.6,529077.1571,6437897.135,90.16814203,58.08157193,-104.5069672,90.16814203,FLT,MFb,SEDIMENTARY,SILICLASTIC,SANDSTONE,TECTONIC_TECTONOMETAMORPHIC_DAMAGE,FAULT_DAMAGE_ZONE
 WC448--367-3,WC448-367-3.JPG ,WC____448___,58.08110672,-104.5065723,452.101,529100.827,6437845.512,452.101,367.3,367.4,529077.1285,6437897.244,89.37612311,58.08157291,-104.5069677,89.37612311,FLT,MFb,SEDIMENTARY,SILICLASTIC,SANDSTONE,TECTONIC_TECTONOMETAMORPHIC_DAMAGE,FAULT_DAMAGE_ZONE
 WC449--350,WC449-350.JPG,WC____449___,58.07516164,-104.4827715,451.468,530509.535,6437194.14,451.468,350,350.1,530515.4639,6437245.744,105.4717453,58.07562472,-104.4826643,105.4717453,SSt,MFb,SEDIMENTARY,SILICLASTIC,SANDSTONE,,
 WC457--339-4,WC457-339-4.JPG ,WC____457___,58.07022289,-104.4363258,449.482,533253.686,6436666.232,449.482,339.4,339.5,533255.9005,6436768.561,126.1231273,58.07114179,-104.4362738,126.1231273,SStCgl,MFb,SEDIMENTARY,SILICLASTIC,SANDSTONE,,
