Echantillon,HOLEID,HOLEID_LATITUDE,HOLEID_LONGITUDE,HOLEID_ELEVATION,HOLEID_X_NAD,HOLEID_Y_NAD,HOLEID_Z_NAD,SAMPLE_DEPTH_FROM,SAMPLE_DEPTH_TO,SAMPLING_POINT-NAME,SAMPLE_NAME,X_NAD,Y_NAD,Z_NAD,LITHOLOGY_ORANO,FORMATION_ORANO,SAMPLING_POINT-LATITUDE,SAMPLING_POINT-LONGITUDE,SAMPLING_POINT-ELEVATION
"WC-244_564,4",WC____244___,58.07089227,-104.52262,495.325,528162.463,6436701.504,495.325,564.4,564.5,WC244--564-4,WC-244--564-4,528177.6038,6436883.176,-38.19367884,GnGraPel,,58.07252302,-104.5223415,-38.19367884
WC-301_467,WC____301___,58.07088483,-104.5294728,503.382,527758.208,6436697.837,503.382,467,467.1,WC301--467,WC-301--467,527750.4299,6436767.895,41.79014109,GnPel,,58.07151455,-104.5295964,41.79014109
"WC-308_468,8",WC____308___,58.07041941,-104.5168613,456.856,528502.55,6436651.276,456.856,468.8,468.9,WC308--468-8,WC-308--468-8,527750.4417,6436768.176,40.01230208,GnPel,,58.07151707,-104.5295962,40.01230208
"WC-308_531,3",WC____308___,58.07041941,-104.5168613,456.856,528502.55,6436651.276,456.856,531.3,531.4,WC308--531-3,WC-308--531-3,527750.8511,6436777.945,-21.71821921,GnGraPel,,58.07160479,-104.5295881,-21.71821921
"WC-312_441,5",WC____312___,58.07191709,-104.500224,457.23,529482.789,6436825.161,457.23,441.5,441.6,WC312--441-5,WC-312--441-5,529470.2178,6436948.064,33.48064787,GnPel,,58.07302179,-104.5004216,33.48064787
"WC-312_446,7",WC____312___,58.07191709,-104.500224,457.23,529482.789,6436825.161,457.23,446.7,446.8,WC312--446-7,WC-312--446-7,529470.3038,6436949.556,28.4999709,GnPel,,58.07303519,-104.50042,28.4999709
"WC-312_450,4",WC____312___,58.07191709,-104.500224,457.23,529482.789,6436825.161,457.23,450.4,450.5,WC312--450-4,WC-312--450-4,529470.365,6436950.617,24.95602767,GnPel,,58.07304471,-104.5004188,24.95602767
"WC-312_502,4",WC____312___,58.07191709,-104.500224,457.23,529482.789,6436825.161,457.23,502.4,502.5,WC312--502-4,WC-312--502-4,529471.2292,6436965.604,-24.82963547,GnGra,,58.07317926,-104.5004023,-24.82963547
"WC-313_511,1",WC____313___,58.07143817,-104.5011015,456.37,529431.42,6436771.459,456.37,511.1,511.2,WC313--511-1,WC-313--511-1,529417.5716,6436896.224,-38.97176344,PegmT,,58.07255968,-104.5013206,-38.97176344
"WC-327_431,1",WC____327___,57.92263613,-104.5572289,466,526229,6420182,466,431.1,431.2,WC327--431-1,WC-327--431-1,526082.9566,6420281.363,72.92275762,AltBas,,57.92353717,-104.5596833,72.92275762
"WC-372_476,2",WC____372___,58.07040928,-104.5645211,473.69,525690.999,6436631.019,473.69,476.2,476.3,WC372--476-2,WC-372--476-2,525693.9356,6436672.814,-0.633680924,GnGra,,58.0707845,-104.5644667,-0.633680924
"WC-372_496,7",WC____372___,58.07040928,-104.5645211,473.69,525690.999,6436631.019,473.69,496.7,496.8,WC372--496-7,WC-372--496-7,525694.3593,6436674.353,-21.07129,GnGra,,58.0707983,-104.5644594,-21.07129
"WC-422_399,9",WC____422___,58.0726566,-104.5003063,454.648,529477.325,6436907.457,454.648,399.9,400,WC422--399-9,WC-422--399-9,529471.3695,6437022.544,71.84685964,GnGra,,58.07369066,-104.5003928,71.84685964
"WC-422_464,9",WC____422___,58.0726566,-104.5003063,454.648,529477.325,6436907.457,454.648,464.9,465,WC422--464-9,WC-422--464-9,529473.0874,6437041.162,9.594238051,GnGra,,58.07385777,-104.5003613,9.594238051
"WC-422_469,9",WC____422___,58.0726566,-104.5003063,454.648,529477.325,6436907.457,454.648,469.9,470,WC422--469-9,WC-422--469-9,529473.2359,6437042.574,4.800139376,GnGra,,58.07387044,-104.5003586,4.800139376
"WC-426_433,9",WC____426___,58.06947376,-104.4363636,453.585,533252.152,6436582.811,453.585,433.9,434,WC426--433-9,WC-426--433-9,533252.415,6436664.541,27.55407599,GnGra,,58.0702078,-104.4363476,27.55407599
"WC-438_525,5",WC____438___,58.06899037,-104.4363723,452.52,533252.09,6436528.99,452.52,525.5,525.6,WC438--525-5,WC-438--525-5,533265.8942,6436616.626,-65.3209243,GnGraPel,,58.06977644,-104.4361259,-65.3209243
"WC-438_525,5",WC____438___,58.06899037,-104.4363723,452.52,533252.09,6436528.99,452.52,525.5,525.6,WC438--525-5,WC-438--525-5,533265.8942,6436616.626,-65.3209243,GnGraPel,,58.06977644,-104.4361259,-65.3209243
"WC-440_418,9",WC____440___,58.07491965,-104.4828112,452.23,530507.4,6437167.18,452.23,418.9,419,WC440--418-9,WC-440--418-9,530507.3808,6437232.413,38.54909826,GnGraPel,,58.07550554,-104.4828031,38.54909826
"WC-440_505,9",WC____440___,58.07491965,-104.4828112,452.23,530507.4,6437167.18,452.23,505.9,506,WC440--505-9,WC-440--505-9,530509.7061,6437244.644,-47.55508581,GnGraPel,,58.07561524,-104.4827621,-47.55508581
WC-441_362,WC____441___,58.07000386,-104.4363202,451.4,533254.22,6436641.85,451.4,362,362.1,WC441--362,WC-441--362,533253.3288,6436695.838,93.59280258,GnGraGra,,58.07048882,-104.4363277,93.59280258
"WC-441_370,2",WC____441___,58.07000386,-104.4363202,451.4,533254.22,6436641.85,451.4,370.2,370.3,WC441--370-2,WC-441--370-2,533253.5302,6436696.846,85.45746203,GnGraPel,,58.07049786,-104.4363241,85.45746203
"WC-441_458,3",WC____441___,58.07000386,-104.4363202,451.4,533254.22,6436641.85,451.4,458.3,458.4,WC441--458-3,WC-441--458-3,533255.7794,6436707.341,-1.985951746,GnGraGra,,58.07059195,-104.4362845,-1.985951746
"WC-441_458,8",WC____441___,58.07000386,-104.4363202,451.4,533254.22,6436641.85,451.4,458.8,458.9,WC441--458-8,WC-441--458-8,533255.7924,6436707.4,-2.482330417,GnGraGra,,58.07059248,-104.4362843,-2.482330417
"WC-444_431,9",WC____444___,58.08077142,-104.5072035,452.08,529063.87,6437807.91,452.08,431.9,432,WC444--431-9,WC-444--431-9,529065.6935,6437877.638,25.91531929,GnGraPel,,58.08139757,-104.507164,25.91531929
"WC-447_471,8",WC____447___,58.07181277,-104.4768226,452.744,530863.317,6436824.006,452.744,471.8,471.9,WC447--471-8,WC-447--471-8,530867.5554,6436902.141,-12.46250247,GnPel,,58.07251425,-104.4767405,-12.46250247
"WC-448_499,2",WC____448___,58.08110672,-104.5065723,452.101,529100.827,6437845.512,452.101,499.2,499.3,WC448--499-2,WC-448--499-2,529073.8135,6437915.354,-41.22872723,GnGraPel,,58.08173579,-104.5070216,-41.22872723
"WC-449_442,7",WC____449___,58.07516164,-104.4827715,451.468,530509.535,6437194.14,451.468,442.7,442.8,WC449--442-7,WC-449--442-7,530519.2848,6437256.716,13.50271247,GnPel,,58.075723,-104.4825981,13.50271247
"WC-449_469,8",WC____449___,58.07516164,-104.4827715,451.468,530509.535,6437194.14,451.468,469.8,469.9,WC449--469-8,WC-449--469-8,530520.3023,6437259.812,-13.40044191,GnPel,,58.07575074,-104.4825804,-13.40044191
"WC-449_484,8",WC____449___,58.07516164,-104.4827715,451.468,530509.535,6437194.14,451.468,484.8,484.9,WC449--484-8,WC-449--484-8,530520.8453,6437261.503,-28.29492453,GnPel,,58.07576589,-104.482571,-28.29492453
"WC-449_502,5",WC____449___,58.07516164,-104.4827715,451.468,530509.535,6437194.14,451.468,502.5,502.6,WC449--502-5,WC-449--502-5,530521.5212,6437263.485,-45.87041403,FLT,,58.07578365,-104.4825593,-45.87041403
"WC-449_510,8",WC____449___,58.07516164,-104.4827715,451.468,530509.535,6437194.14,451.468,510.8,510.9,WC449--510-8,WC-449--510-8,530521.9052,6437264.39,-54.11202774,Bxfault,,58.07579175,-104.4825527,-54.11202774
"WC-449_512,1",WC____449___,58.07516164,-104.4827715,451.468,530509.535,6437194.14,451.468,512.1,512.2,WC449--512-1,WC-449--512-1,530521.9653,6437264.532,-55.4028829,Bxfault,,58.07579302,-104.4825516,-55.4028829
"WC-449_512,1",WC____449___,58.07516164,-104.4827715,451.468,530509.535,6437194.14,451.468,512.1,512.2,WC449--512-1,WC-449--512-1,530521.9653,6437264.532,-55.4028829,Bxfault,,58.07579302,-104.4825516,-55.4028829
WC-449_520,WC____449___,58.07516164,-104.4827715,451.468,530509.535,6437194.14,451.468,520,520.1,WC449--520,WC-449--520,530522.3308,6437265.393,-63.24731042,Bxfault,,58.07580073,-104.4825453,-63.24731042
